transcript_id,egg_1,egg_5,egg_7,zoea_1,zoea_2,megalopaS_01,megalopaS_02,megalopaS_04,megalopaF_2,megalopaF_5,megalopaF_6,larvaeI_1,larvaeI_2,larvaeI_3,larvaeIII_1,larvaeIII_2,larvaeIII_3,larvaeV_2,larvaeV_4,larvaeV_6
XM_050883635.1,0.115755,0,0.25151,0,0.29957,0.356842,0,0,0,0.199546,0.409961,0.098333,0,0,0.354082,0.219754,0,0,0,0.360749
XM_050883629.1,0.088317,0.164671,0,0.62993,0.274286,0.517336,0.591547,0.746668,1.549359,0.959306,1.849043,0,0.076086,0.031335,0.350394,0,0.279232,0,0,0
XM_050883621.1,0.062275,1.057103,0,1.305886,0,0.47094,0,0.363969,0,0,0,0,0,0.082692,0,0.5572,0,0,0,0.667547
XM_050883609.1,0.084478,0,0,0.098673,0.186362,0.132754,0.10512,0.212688,0.378184,0,0.225325,0.020989,0.094196,0,0.186703,0,0.082308,0,0,0.642835
XM_050883645.1,0.041034,0.183675,0,0.044539,0,0,0,0.113501,0.094676,0.107808,0.108778,0,0,0.06663,0.020777,0.044979,0.271929,0,0,0.155753
XM_050883643.1,0.029424,0.137802,0,0.074891,0.105141,0.009339,0.085307,0.213013,0.07594,0.464358,0.290395,0,0.032741,0,0.130128,0.187433,0.389411,0,0,0.084056
XM_050883628.1,0.032527,0,0,0,0.0526,0,0.133771,0.066266,0,0.042307,0.096174,0,0,0.009979,0,0,0,0,0,0.098098
XM_050883610.1,0.02526,0,0,0,0.097704,0.267936,0,0.189094,0.478545,0.183855,0.021394,0,0,0,0,0,0,0,0,0.022519
XM_050883630.1,0.022204,0,0,0.352152,0.085643,0,0,0.228269,0.604144,0,0.414312,0,0,0,0,0,0,0,0,0.017015
XM_050883642.1,0.009114,0,0,0.011598,0,0.082269,0,0,0.104656,0,0,0,0,0,0,0.147605,0.003426,0,0,0.000996
XM_050883623.1,0.005167,0.060312,0.037674,0.003955,0,0,0,0.065314,0.076736,0,0,0,0.026124,0,0.013796,0.154986,0.012751,0,0,0.00118
XM_050883602.1,0,0,0.029818,0,0,0.562416,0.206388,0.215301,1.129208,0,1.262416,0.080535,0,0,0,0.236183,0.052511,0,0,0
XM_050884094.1,0.083942,0.838215,0.285451,2.042544,2.361838,12.413634,14.872963,10.693727,10.697114,7.486598,14.758907,16.192169,15.272609,9.227648,1.112054,7.2233,9.640761,0,0,1.110645
XM_050883651.1,0.03301,0.100863,0.080381,0.00674,0,0.014473,0,0.005265,0.084079,0.012781,0.010906,0,0,0,0.049818,0.171977,0.029152,0,0,0.040709
XM_050884095.1,0.185238,0.103304,0.272463,0.319391,0.246355,0.560987,0.69846,0.607676,1.198423,0.488949,0.715651,0.287865,0.191415,0.226505,0.038334,0,0.100106,0,0,0
XR_007762698.1,3.395543,6.038879,6.777178,2.123016,3.769842,1.321684,1.798082,3.624134,7.631514,0,1.688779,0,1.009463,2.488243,1.34695,0,0,0,0,0
XM_050883654.1,0.195007,2.641656,2.488589,2.630042,0.628079,0.043595,0.380464,2.094618,0.07026,1.03737,0.794069,2.866982,0.650884,0.06487,0.15858,0.094162,1.037327,0,0,3.133269
XM_050883660.1,0.025627,0,0,0,0.00856,0,0,0,0,0,0,0,0,0,0,0.00559,0,0,0,0
XM_050883671.1,0.024025,0,0,0,0.008971,0,0,0,0.029494,0,0,0,0,0,0,0.003786,0.018026,0,0,0
XM_050883656.1,0.026187,0,0,0,0.007994,0,0,0,0,0,0,0,0,0,0,0.004076,0,0,0,0
XM_050883665.1,0.023761,0.092841,0.071898,0.011834,0.008222,0.025518,0,0.029791,0.035798,0.027764,0.046826,0,0,0.007229,0.011851,0,0.030638,0,0,0.014817
XM_050883662.1,0.024294,0.1043,0.057706,0.014498,0.00762,0.017324,0,0.040656,0.034636,0.030592,0.059173,0,0,0.008443,0.01459,0,0.04927,0,0,0.019528
XM_050883678.1,0.021898,0.00345,0.100219,0.014032,0.010188,0,0,0.041938,0.002229,0.027943,0.038273,0,0,0.011047,0.020451,0,0.015592,0,0,0.016299
XR_007762713.1,0.014873,0.04638,0.03566,0.011203,0.012159,0.037988,0,0.034345,0.013739,0.00275,0.014878,0.007363,0.016708,0,0.004287,0,0,0,0,0
XM_050883679.1,0.00847,0.03974,0,0,0,0,0.012739,0,0.012746,0,0,0,0.002073,0,0.002707,0,0,0,0,0
XM_050883676.1,0.010308,0.036578,0.032075,0,0.01058,0.035721,0.021664,0,0.015266,0,0,0,0.003438,0,0.004047,0,0,0,0,0
XM_050883683.1,0.005893,0.034933,0,0,0,0,0.009535,0,0.011456,0,0,0,0.000746,0,0.002474,0,0,0,0,0
XM_050883664.1,0.011838,0.039661,0.110127,0,0.027448,0.027061,0.019275,0.027569,0.015608,0.030286,0.055563,0.00362,0.013427,0,0.003726,0,0,0,0,0
XM_050883680.1,0.006898,0.058196,0,0,0,0,0.00871,0.005803,0.000856,0.001751,0,0,0.001595,0.024713,0,0,0,0,0,0
XM_050883666.1,0.006951,0.025823,0,0,0,0,0.023636,0.017734,0.019079,0.009983,0,0,0.011985,0.020974,0,0,0,0,0,0
