transcript_id,egg_1,egg_5,egg_7,zoea_1,zoea_2,megalopaS_01,megalopaS_02,megalopaS_04,megalopaF_2,megalopaF_5,megalopaF_6,larvaeI_1,larvaeI_2,larvaeI_3,larvaeIII_1,larvaeIII_2,larvaeIII_3,larvaeV_2,larvaeV_4,larvaeV_6
XM_050875274.1,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0
XM_050875275.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875276.1,0,0.35,0,0.15,0.31,0,0.22,0,0.17,0,0,0,0.05,0,0.04,0.1,0,0.07,0.21,0
XM_050875277.1,0,0.18,0,0.15,0.16,0.22,0.16,0.99,0.18,0,0.12,0.13,0.22,0,0.13,0,0,0,0.14,0
XM_050875278.1,0,6.48,0.36,0.75,0.42,0.43,0.33,1.44,1.08,0.4,0.54,0.32,0.58,0.22,0.42,0,0.57,0.64,1.18,1.96
XM_050875279.1,3.2,6.77,1.9,0.96,0,1.64,0.72,0,1.47,0,1.22,0,0,0,0.39,0,0.92,0.61,0,0
XM_050875280.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875281.1,0,0,0,0.17,0,0.08,0.22,0.35,0,0,0.13,0,0,0,0.04,0,0,0,0,0
XM_050875282.1,0,0.09,0,0.09,0.13,0.24,0.37,0.18,0.4,0.06,0.4,0,0,0,0.04,0,0.04,0,0,0
XM_050875283.1,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0
XM_050875284.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,0,0.04,0,0,0
XM_050875285.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875286.1,0,0,0,0.18,0.4,0.04,0.04,0.2,0.07,0,0.22,0.04,0,0.16,0,0.04,0,0,0,0
XM_050875287.1,4.51,13.44,14.33,1.84,1.41,0.01,0.54,1.26,0.68,0.16,0.88,0.35,0.2,0.16,0.28,0.23,0.37,0.38,0.57,0.62
XM_050875288.1,0,0,1.27,0,0,0.91,0.35,1.23,0.84,0,0,0,0,0,0,0,0,0,0,0
XM_050875289.1,0,0,0.5,0.86,2.32,0,2.23,0,4.46,0.35,5.15,0,1.88,0,0.09,0,0,0,0,0
XM_050875290.1,1.39,9.88,1.67,10.79,3.95,19.57,18.51,48.94,12.69,3.36,11.01,13.61,5.45,22.79,1.61,2.2,3.86,1.93,10.96,26.16
XM_050875291.1,0,0,0,0.54,0,0.16,0.3,1.92,0.49,0.64,0,0.78,0.75,1.47,0.16,0,0.09,0.39,0,0
XM_050875292.1,3.24,4.04,1.41,4.16,1.19,1.29,1.27,1.95,3.7,0.93,3.44,1.12,0,0,0.53,1.22,0,0.31,1.56,0
XM_050875293.1,0,1.1,0,1.27,0.2,3.86,2.08,11.62,1.28,0.56,0,1.13,0,1.22,0,0,0.16,0,1.84,1.1
XM_050875294.1,10.38,12.53,12.91,5.46,4.82,2.47,2.97,3.78,4.04,3.26,3.2,1.07,1.15,0.94,1,1.82,1.16,1.34,1.35,0.81
XM_050875295.1,20.48,19.78,15.57,43.77,40.11,37.84,44.36,38.69,31.79,32.95,33.99,14.75,17.54,24.65,20.17,25.53,20.74,16.15,18.89,26.44
XM_050875296.1,2.41,2.53,3.12,1.18,1.09,0.9,0.79,1.31,1.11,1.18,1.56,0.42,0.56,0.66,0.35,0.88,0.47,0.72,1.38,1.15
XM_050875297.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875298.1,14.56,19.55,17.88,12.86,7.69,6.76,6.85,14.25,6.94,5.99,8.05,2.94,3.81,0.74,2.16,6.02,5.12,3.02,3.29,0
XM_050875299.1,50.02,87.58,74.07,8.49,9.25,5.14,6.31,6.17,10.53,3.18,8.43,4.64,2.86,6.27,1.21,0,0,1.15,6.32,8.29
XM_050875300.1,136.72,154.89,139,288.07,260.5,243.45,198.45,322.96,349.76,347.49,374.67,121.28,164.34,155.44,186.24,243.37,185.18,191.22,321.84,189.51
XM_050875301.1,12.87,15.07,15.94,0,3.95,1.22,0.92,0.44,2.63,2.29,1.21,0.37,0,0.52,0.42,1.86,0.32,0.23,0,0.65
XM_050875302.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.68,0.4,0,2.02,0
XM_050875303.1,0.64,6.71,0.63,0.93,1.1,0,0,1.63,0,0,0,0.13,0,0,0,0,0.54,0,0.7,0
XM_050875304.1,12.02,16.56,10.79,3.22,3.28,2.35,1.88,3.74,4.61,1.48,4.04,0.15,0.83,0.84,0,0,0.7,0.47,0,2.15
XM_050875305.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0.66,0,0,0
XM_050875306.1,16.98,22,16.75,6.44,2.83,3.71,3.59,5.59,5.67,3.61,1.6,1.4,1.06,1.51,0.93,0.72,0.38,0,3.5,2.24
XM_050875307.1,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875308.1,4.1,17.08,6.55,5.57,4.13,1.58,1.69,3.78,2.3,2.22,6.7,0,0.44,0,0,0.83,0.63,1.3,0,0
XM_050875309.1,1.18,1.18,2.29,1.14,0.87,0.47,0.46,0.73,3.24,1.08,2.84,0,0,0,0,0,0,0.68,0,1.4
XM_050875310.1,8.98,15.72,14.64,9.2,6.77,10.9,5.96,16.27,8.94,5.2,8.46,3.99,1.55,7.67,0,3.08,1.86,1.16,1.85,3.39
XM_050875311.1,0,0,0,0,1.95,0,0,0,0,0,0,1.13,1,0,0,0.7,0,0,0,0
XM_050875312.1,0.7,0.84,0,2.83,1.9,0,6.15,0,0,0,0.97,2.96,2.27,0,0.99,0,1.22,0.52,0.97,0
XM_050875313.1,55.15,49.72,42.13,20.48,14.51,8.47,6.94,13.02,7.56,6.82,5.19,2.83,1.86,2.47,3.05,3.95,5.28,4.08,5.34,3.29
XM_050875314.1,14.85,31.07,14.75,6.66,5.63,6.88,7.38,14.83,11.72,5.13,8.85,4.14,2.43,3.72,0.91,1.86,1.66,0.68,1.84,1.52
XM_050875315.1,12.63,20.51,5.87,13.24,8.22,6.72,6,10.8,7.93,6.44,10.3,1.2,1.8,0,1.46,2.19,1.97,1.36,2.31,0.9
XM_050875316.1,0.08,0.08,0.21,0,0.05,0,0,0,0,0,0.22,0,0.07,0,0,0,0,0,0,0
XM_050875317.1,0,0,0,3.67,2.81,5.69,5.35,0,76.72,95.81,176.1,361.49,462.49,154.52,907.59,908.24,739.14,556.09,266.57,102.93
XM_050875318.1,0,0,0,0,0,0.41,0,0.61,0,0,0,0,0,0,0,0,0,0,1.34,0
XM_050875319.1,0,0,0,0,1.09,0,3.83,5.31,39.69,60.48,79.05,236.9,243.81,157.39,539.95,489.45,458.92,262.36,771.93,245.71
XM_050875320.1,0.14,0.39,0.29,0.04,0,0,0,0,0,0.05,0,0,0,0.05,0.04,0,0,0,0,0
XM_050875321.1,0.04,0,0,0,0,0,0,0,0.26,0,0.07,0,0.09,0,0.08,0.1,0,0,0.09,0.1
XM_050875322.1,0.82,1.7,0.58,0.65,0.36,0.48,0.39,0.74,0.66,0,0.37,0.37,0.13,0,0.14,0.11,0.1,0,0.15,0
XM_050875323.1,2.44,2.16,0,3514.06,3636.31,1926.57,2309.29,1518.43,3503.41,4945.89,3288.67,42.94,35.17,14.68,25.99,18.01,26.62,42.24,9.8,27.76
XM_050875324.1,174.65,181.25,168.75,433.16,384.06,382.87,381.71,384.96,389.34,478.74,409.88,221.36,217.25,256.53,247.89,266.06,265.52,243.58,269.32,283.89
XM_050875325.1,18.25,12.26,14.42,12.29,9.68,5.86,9.89,8.41,9.81,9.2,6.9,0.49,3.84,2.66,1.65,2.08,4.67,1.8,2.1,4.31
XM_050875326.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875327.1,0,0,0,0.5,0.36,0.35,1.81,0.82,0,0.8,0,0,0,0,0,0,0,0,1.38,0
XM_050875328.1,0,0,0,0,0,0.64,0,0.52,0,0,0,0,0,0,0.25,0,0,0,0,0
XM_050875329.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875330.1,0.47,0,0,0,0,0.33,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0
XM_050875331.1,0,0.17,0,0.93,1.83,1.97,0.61,3.23,2.77,0,1.72,1.23,0,1.02,1.22,1.39,0,0.85,0.77,0.6
XM_050875332.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XM_050875333.1,0,0,0,0,0,0,0,0,0,0,0.94,0,0,0,0,0,0,0,0,0
XM_050875334.1,0,0,0.35,0,0,0,0,0,0,1.14,0,0,0.75,0,0,0,1.11,0,0,0.84
XM_050875335.1,0,0.22,0,0,0,0.25,0.35,0,0,0,0,0.12,0,0,0.43,0.1,0,0,0,0
XM_050875336.1,23.58,29.69,19.35,3.04,3,5.04,3.14,3.7,5.06,2.89,6.72,3.69,3.01,3.7,3.62,5.8,4.98,2.61,7.4,3.11
