gene_id,eyestalk1,eyestalk2,eyestalk6,ganglion1,ganglion5,ganglion6,gill1,gill2,gill5,hepatopancreas2,hepatopancreas4,hepatopancreas5,heart1,heart2,heart5,intestine1,intestine3,intestine4,muscle1,muscle2,muscle5,ovary1,ovary2,ovary5,stomach1,stomach2,stomach5,testis3,testis4,testis6
LOC126996542,0.29,0.1,1.61,0.5,0.11,8.4,0.89,0,0.49,54.03,43.42,56.6,0,0,0,0.17,1.1,0.11,0,0,0,0.13,0,0,0,0,0.21,0,0,0.11
LOC126996543,0.08,0,0,0.1,0.09,3.88,0.24,0,0.08,8.55,3.5,4.76,0,0,0,0,0.41,0,0,0,0,0.49,0.22,0.1,0,0,0,0.04,0,0
LOC126996544,0,0,0,0.42,0,0,0,0.74,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0.56,0.25,0.59,0,0.61,0,0.39,0,0.74
LOC126996545,5.76,4.72,5.74,0,0,0.17,0,0,0,0.2,0.16,0.08,19.95,13.86,20.52,1.4,0.09,1.92,11.17,9.42,7,0,0,0,0,5.11,4.35,0.3,0.88,0.62
LOC126996546,1.14,0.17,0,1.89,0,0,7.69,6.89,2.65,3.32,1.51,1.03,0.61,0,0.86,3.77,0,1.43,0.47,0,0.11,0,0,0.4,0.5,0.29,0.55,0,0.06,0
LOC126996547,0.18,0.62,2.22,0.3,0.83,0.12,0,0.04,0.28,0.09,0.14,0.12,0.09,0.06,0.03,0,0.1,0.58,0,0,0.02,0.39,0.21,1.04,0,0,0.02,0.02,0.07,0.03
LOC126996548,0.56,0.45,0.42,4.69,0.95,0.23,5.37,2.77,1.87,0.11,0,0.08,0.29,0.05,0.18,1.04,0.06,0,0,0,0.31,0.31,0,0.06,0.96,0.24,0.52,0.12,0,0.08
LOC126996549,0,0.2,0.25,0,6.07,0,0,0,0.1,0.12,0.2,0.07,0,0.15,0,0.17,0.16,0.44,0,0.18,0,0.3,1.04,0,0,0,0,0.1,0.18,0.47
LOC126996550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,1.23,0,0,0,0,0,0
LOC126996551,2.5,23.75,30.95,106.37,316.06,4.52,0.04,0.09,0,0.07,0.06,0.3,0.46,0.21,0.02,2.44,0.24,0.36,0.23,0.15,0.16,0.33,1.95,0.53,0.06,0.1,0.01,0.01,0.06,0.05
LOC126996552,0.1,0,0,0,0.95,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126996553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC126996554,0,0.07,0.38,0,0,111.89,0.09,0.07,0,345.71,429.03,381.77,0,0,0,0.12,499.63,0.07,0,0,0,0.04,0.06,0.12,0,0.69,0.69,0,0.12,0.08
LOC126996555,13.5,16.92,13.26,40.87,43.05,26.5,21.79,22.68,29.21,21.3,25.18,19.87,24.88,19.84,23.96,18.88,27.43,18.1,17.37,14.46,12.05,15.26,20.97,17.5,34.8,26.17,15.64,4.19,5.01,4.98
LOC126996556,2.09,3.13,4.24,7.03,9.06,3.85,4.34,4.15,2.54,11.98,12.56,11.46,1.45,1.11,2.09,37.53,27.05,31.36,0.27,0.58,0.09,6.75,2.69,5.18,2.2,1.99,1.21,0.22,0.36,0.25
LOC126996557,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
